,Price,Area,Location,No. of Bedrooms,Resale,ShoppingMall,ATM,School,Hospital,VaastuCompliant,City,Amenities,Furnitioned,Capacity(no. of people)
12099,74.76,1068,Velachery,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12100,65.93,899,Velachery,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12101,45.19,1078,Sithalapakkam,3.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,6.0
12102,38.1,905,Sithalapakkam,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12103,36.15999,882,Sithalapakkam,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12104,32.77,775,Sithalapakkam,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12105,52.44,1201,Medavakkam,3.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,6.0
12106,45.63,1039,Medavakkam,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12107,42.78,971,Medavakkam,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12108,38.75,899,Medavakkam,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12109,34.79999,781,Vengaivasal,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12110,74.5,1300,Medavakkam,3.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,6.0
12111,71.3,1260,Medavakkam,3.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,6.0
12112,60.88,1107,Medavakkam,3.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,6.0
12113,52.0,1200,Selaiyur,3.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,0,6.0
12114,40.0,954,Selaiyur,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,0,4.0
12115,45.0,954,Madambakkam,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,0,4.0
12116,50.0,954,Selaiyur,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,0,4.0
12117,63.36,1320,Annanagar,3.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,0,6.0
12118,63.36,1320,Chengalpattu,3.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,0,6.0
12119,53.8,1135,Medavakkam,3.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,6.0
